scheme_code,scheme_name,amc_name,manager_name,role,rank,start_date,end_date,source,source_type,source_url,confidence_score,predecessor_manager,successor_manager,event_type,notes,evidence_ids
112529,ICICI Pru Focused Equity Fund - Regular Plan - Growth,ICICI Prudential Mutual Fund,Sankaran Naren,lead,1,2016-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Naren also manages ICICI Focused Equity.,
120505,DSP Flexi Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Atul Bhole,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Atul Bhole managing DSP flexi cap strategy.,
120504,DSP Midcap Fund - Direct Plan - Growth,DSP Mutual Fund,Vinit Sambre,lead,1,2012-07-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Vinit Sambre is a long-standing DSP midcap fund manager.,
120506,DSP Small Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Vinit Sambre,lead,1,2013-06-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Vinit Sambre also handles DSP Small Cap.,
119062,Nippon India Growth Fund - Direct Plan - Growth Option,Nippon India Mutual Fund,Manish Gunwani,lead,1,2014-05-01,2023-02-28,expanded_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/nippon-india-mutual-fund-cio-manish-gunwani-quits-11674709012965.html,0.70,,Rupesh Patel,manager_exit,Major Nippon India CIO exit.,
119062,Nippon India Growth Fund - Direct Plan - Growth Option,Nippon India Mutual Fund,Rupesh Patel,lead,1,2023-03-01,,expanded_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/nippon-india-mutual-fund-cio-manish-gunwani-quits-11674709012965.html,0.60,Manish Gunwani,,manager_join,Rupesh Patel succeeds Manish Gunwani at Nippon India Growth.,
119063,Nippon India Large Cap Fund - Direct Plan - Growth Plan,Nippon India Mutual Fund,Sailesh Raj Bhan,lead,1,2007-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Sailesh Raj Bhan is a veteran Nippon India large-cap manager.,
119066,Nippon India Small Cap Fund - Direct Plan - Growth Plan,Nippon India Mutual Fund,Samir Rachh,lead,1,2010-09-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Star performer at Nippon India small-cap space.,
120466,Axis Bluechip Fund - Direct Plan - Growth,Axis Mutual Fund,Shreyash Devalkar,lead,1,2017-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Shreyash Devalkar manages Axis Bluechip.,
120472,Axis Midcap Fund - Direct Plan - Growth,Axis Mutual Fund,Shreyash Devalkar,lead,1,2016-02-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Shreyash Devalkar is also the lead for Axis Midcap.,
120467,Axis Small Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Anupam Tiwari,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Anupam Tiwari manages Axis Small Cap.,
119519,Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Neelesh Surana,lead,1,2010-07-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Neelesh Surana also co-manages Mirae Asset Emerging Bluechip.,
107578,Mirae Asset Large Cap Fund - Growth Plan,Mirae Asset Mutual Fund,Gaurav Misra,co-manager,2,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Gaurav Misra co-manages Mirae Asset Large Cap.,
120847,PPFAS Flexi Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,Rajeev Thakkar,lead,1,2013-05-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.65,,,manager_related,Founder-manager of PPFAS Flexi Cap; rare long-tenure CIO.,
120844,PPFAS Conservative Hybrid Fund - Direct Plan - Growth,PPFAS Mutual Fund,Rajeev Thakkar,lead,1,2018-04-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Rajeev Thakkar also heads PPFAS hybrid.,
120386,Motilal Oswal Flexi Cap Fund - Direct Plan - Growth,Motilal Oswal Mutual Fund,Niket Shah,lead,1,2021-07-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Niket Shah leads Motilal Oswal equity strategies.,
120387,Motilal Oswal Midcap Fund - Direct Plan - Growth,Motilal Oswal Mutual Fund,Niket Shah,lead,1,2019-03-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Niket Shah also manages Motilal Oswal Midcap.,
119237,Franklin India Prima Fund - Direct Plan - Growth,Franklin Templeton Mutual Fund,R Janakiraman,lead,1,2004-02-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Veteran Franklin Templeton India mid-cap manager.,
119236,Franklin India Bluechip Fund - Direct Plan - Growth,Franklin Templeton Mutual Fund,Venkatesh Sanjeevi,lead,1,2022-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Current lead on Franklin India Bluechip.,
119241,Franklin India Equity Hybrid Fund - Direct Plan - Growth,Franklin Templeton Mutual Fund,Anand Radhakrishnan,lead,1,2007-04-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Senior Franklin Templeton India equity manager.,
118825,Aditya Birla SL Frontline Equity Fund - Direct Plan - Growth,Aditya Birla Sun Life AMC,Mahesh Patil,lead,1,2005-08-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Mahesh Patil is CIO and veteran fund manager at ABSL.,
118828,Aditya Birla SL Flexi Cap Fund - Direct Plan - Growth,Aditya Birla Sun Life AMC,Mahesh Patil,lead,1,2009-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Mahesh Patil also leads ABSL Flexi Cap.,
118829,Aditya Birla SL Midcap Fund - Direct Plan - Growth,Aditya Birla Sun Life AMC,Vishal Gajwani,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Vishal Gajwani manages ABSL midcap strategy.,
120609,Tata Equity PE Fund - Direct Plan - Growth,Tata Mutual Fund,Sonam Srivastava,lead,1,2021-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Tata PE fund lead manager.,
120608,Tata Midcap Growth Fund - Direct Plan - Growth,Tata Mutual Fund,Satish Mishra,lead,1,2019-06-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Satish Mishra manages Tata Midcap Growth.,
120610,Tata Small Cap Fund - Direct Plan - Growth,Tata Mutual Fund,Chandraprakash Padiyar,lead,1,2018-11-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Chandraprakash Padiyar runs Tata Small Cap.,
100356,HDFC Top 100 Fund - Growth Option,HDFC Mutual Fund,Rahul Baijal,lead,1,2022-07-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,Prashant Jain,,manager_join,Rahul Baijal took over HDFC Top 100 after Prashant Jain exit.,
100356,HDFC Top 100 Fund - Growth Option,HDFC Mutual Fund,Prashant Jain,lead,1,2003-06-01,2022-06-30,expanded_seed,reputable_news,https://www.hdfcfund.com/news-room/prashant-jain-to-move-on-from-hdfc-amc,0.70,,Rahul Baijal,manager_exit,Prashant Jain was CIO at HDFC MF; high-profile exit.,
101761,HDFC Mid-Cap Opportunities Fund - Growth Plan,HDFC Mutual Fund,Chirag Setalvad,lead,1,2007-06-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Chirag Setalvad has managed HDFC Mid-Cap Opportunities for years.,
131476,Quant Small Cap Fund - Direct Plan - Growth,Quant Mutual Fund,Sanjeev Sharma,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Sanjeev Sharma runs Quant Small Cap; outperformer recently.,
131477,Quant Flexi Cap Fund - Direct Plan - Growth,Quant Mutual Fund,Sanjeev Sharma,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Sanjeev Sharma also manages Quant Flexi Cap.,
131478,Quant Active Fund - Direct Plan - Growth,Quant Mutual Fund,Sanjeev Sharma,lead,1,2019-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Sanjeev Sharma heads Quant Active equity strategy.,
120199,Canara Robeco Flexi Cap Fund - Direct Plan - Growth,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,lead,1,2016-04-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Shridatta Bhandwaldar manages Canara Robeco equity flagship.,
120197,Canara Robeco Emerging Equities Fund - Direct Plan - Growth,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,lead,1,2016-04-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Shridatta Bhandwaldar also leads Canara Robeco emerging equities.,
119243,Invesco India Contra Fund - Direct Plan - Growth,Invesco Mutual Fund,Taher Badshah,lead,1,2015-04-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Taher Badshah is CIO at Invesco India.,
119244,Invesco India Flexi Cap Fund - Direct Plan - Growth,Invesco Mutual Fund,Taher Badshah,lead,1,2023-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Taher Badshah manages Invesco India Flexi Cap.,
105756,UTI Flexi Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,Ajay Tyagi,lead,1,2023-02-01,,expanded_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/vetri-subramaniam-quits-uti-mutual-fund-11675079812255.html,0.60,Vetri Subramaniam,,manager_join,Ajay Tyagi took over UTI Flexi Cap after Vetri exit.,
105756,UTI Flexi Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,Vetri Subramaniam,lead,1,2017-01-01,2023-01-31,expanded_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/vetri-subramaniam-quits-uti-mutual-fund-11675079812255.html,0.70,,Ajay Tyagi,manager_exit,Vetri Subramaniam quit UTI; widely covered exit.,
120862,HSBC Flexi Cap Fund - Direct Plan - Growth,HSBC Mutual Fund,Neelotpal Sahai,lead,1,2019-09-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Neelotpal Sahai manages HSBC equity strategies.,
120863,HSBC Large Cap Fund - Direct Plan - Growth,HSBC Mutual Fund,Neelotpal Sahai,lead,1,2019-09-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Neelotpal Sahai also heads HSBC Large Cap.,
119774,ICICI Prudential Flexi Cap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Anish Tawakley,lead,1,2023-01-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.60,,,manager_related,Anish Tawakley currently manages ICICI Pru Flexi Cap.,
119780,ICICI Prudential Small Cap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Harish Bihani,lead,1,2020-03-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Harish Bihani leads ICICI Prudential Small Cap fund.,
120282,Bandhan Flexi Cap Fund - Direct Plan - Growth,Bandhan Mutual Fund,Manish Gunwani,lead,1,2023-06-01,,expanded_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/nippon-india-mutual-fund-cio-manish-gunwani-quits-11674709012965.html,0.60,,,manager_join,Manish Gunwani joined Bandhan MF (formerly IDFC) after leaving Nippon India.,
120283,Bandhan Core Equity Fund - Direct Plan - Growth,Bandhan Mutual Fund,Manish Gunwani,lead,1,2023-06-01,,expanded_seed,reputable_news,https://www.livemint.com/mutual-fund/mf-news/nippon-india-mutual-fund-cio-manish-gunwani-quits-11674709012965.html,0.60,,,manager_join,Manish Gunwani also leads Bandhan Core Equity.,
120157,WhiteOak Capital Flexi Cap Fund - Direct Plan - Growth,WhiteOak Capital Mutual Fund,Prashant Khemka,lead,1,2022-11-01,,expanded_seed,reputable_news,https://www.business-standard.com/finance/personal-finance/prashant-khemka-launches-whiteoak-capital-mutual-fund-122103100441_1.html,0.60,,,manager_related,Former Goldman Sachs CIO India; launched WhiteOak Capital MF.,
120158,WhiteOak Capital Mid Cap Fund - Direct Plan - Growth,WhiteOak Capital Mutual Fund,Ramesh Mantri,lead,1,2023-06-01,,expanded_seed,value_research,https://www.valueresearchonline.com/funds/,0.55,,,manager_related,Ramesh Mantri manages WhiteOak midcap.,
